Label,Weight同性恋,1533
电视剧,11
留给,11
不怎么,11
要命,11
交给,11
男女平等,11
前年,11
高贵,11
一视同仁,11
实现,11
发声,11
爱上,11
正常人,11
公众,11
获得,11
http,11
主义,10
研究生,10
关心,10
辛苦,10
今天,10
看成,10
接下来,10
温暖,10
别哭,10
哥哥,10
几天,10
各种各样,10
避讳,10
善解人意,10
bgm,10
门当户对,10
往前走,10
带到,10
气死,10
高考,10
掐死,10
一眼,10
床上,10
说些,10
uo,10
察觉到,10
无数次,10
一辈,10
拆散,10
当初,10
假扮,10
赶出去,10
xing,10
维系,10
亲密关系,10
有点像,10
注意力,10
等等等等,10
考验,10
表达,10
年轻,10
固有,10
异地,10
很能,10
始终,10
动手,10
热评,10
都还没,10
恐慌,10
随意,10
solo,10
短发,10
发型,10
神经质,10
愉快,10
平常人,10
无权,10
直男直,10
殴打,10
公布,10
偷偷摸摸,10
显然,10
羞愧,10
友谊,10
对面,10
隔壁,10
时期,10
碰巧,10
世间,10
头疼,10
28,10
题外话,10
抑郁症,10
毛君,10
网恋,10
芬芳,10
场合,10
深知,10
冒犯,10
影视,10
顺遂,10
没敢,10
有情人,10
一周,10
玩具,10
身材,10
干扰,10
灰色,10
地带,10
nt,10
大大咧咧,10
第一种,10
不自在,10
硬生生,10
来源,10
愤怒,10
领域,10
侵犯,10
克制,10
TA,10
心意,10
结晶,10
跳楼,10
生日,10
前天,10
暴跳如雷,10
过度,10
搞清楚,10
坚强,10
呵护,10
品质,10
男性化,10
民族,10
惊呆,10
大三,10
淡定,10
完婚,10
做错,10
欣赏,10
占多数,10
指路,10
消息,10
改不了,10
避开,10
岁数,10
回应,10
不愿,10
无话可说,10
与生俱来,10
同龄,10
全校,10
知晓,10
小圈子,10
社会群体,10
收入,10
皆大欢喜,10
纸片,10
外婆,10
压着,10
路人,10
一纸,10
婚书,10
设想,10
看作,10
地区,10
退步,10
人设,10
包容性,10
有助于,10
看不起,10
议论,10
发小,10
格格不入,10
无法忍受,10
口音,10
宝宝,10
差距,10
情形,10
高高在上,10
招来,10
轻视,10
嘲讽,10
小城镇,10
负罪感,10
冲淡,10
之外,10
就读,10
英国,10
留学,10
新生,10
开学,10
却说,10
暗送秋波,10
又告,10
自恋,10
这期,10
造型,10
两三,10
打游戏,10
搬走,10
饶恕,10
原则性,10
战略,10
Mr,10
Ms,10
RIGHT,10
言情,10
起点,10
定向,10
输出,10
青蛙,10
歪理,10
想先,10
凉拌,10
挺迷,10
平和,10
没底,10
阿毛,10
裙子,10
惧怕,10
世纪,10
非得,10
癌症,10
靠着,10
不断,10
差别,10
